name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,is_Bug,version
com.ichi2.anki.dialogs.e1,2,0,0,4,4,0,1,4,2,0.0000,15,0.0000,1,0.0000,0.6250,0,0,6.0000,0,2.11
com.ichi2.anki.dialogs.e0,2,0,0,4,4,0,1,4,2,0.0000,15,0.0000,1,0.0000,0.6250,0,0,6.0000,0,2.11
com.ichi2.preferences.CustomDialogPreference,2,0,0,11,16,0,0,11,2,0.0000,96,1.0000,0,0.0000,0.6000,0,0,46.5000,0,2.11
com.ichi2.anki.dialogs.d1,2,0,0,4,4,0,1,4,2,0.0000,15,0.0000,1,0.0000,0.6250,0,0,6.0000,0,2.11
com.ichi2.anki.dialogs.d0,2,0,0,4,4,0,1,4,2,0.0000,15,0.0000,1,0.0000,0.6250,0,0,6.0000,0,2.11
com.ichi2.anki.web.CustomSyncServer,6,0,0,8,12,15,3,5,6,1.2000,39,0.0000,0,0.0000,0.2917,0,0,5.0000,0,2.11
com.ichi2.libanki.Exporter,3,0,1,6,10,0,2,4,3,0.3333,52,1.0000,1,0.0000,0.6667,0,0,15.3333,0,2.11
com.ichi2.anki.multimediacard.fields.FieldControllerBase,5,0,4,8,6,10,4,4,5,1.0000,28,1.0000,3,0.0000,0.3600,0,0,3.8000,0,2.11
com.ichi2.anki.multimediacard.fields.IFieldController,9,0,0,13,9,36,8,6,9,2.0000,9,0.0000,0,0.0000,0.2361,0,0,0.0000,0,2.11
com.ichi2.utils.DiffEngine,5,0,0,6,17,8,1,5,4,0.7500,161,1.0000,0,0.0000,0.6000,0,0,31.0000,0,2.11
com.ichi2.libanki.AnkiExporter,8,0,1,20,84,16,1,19,5,0.8810,771,0.5000,1,0.0000,0.3036,0,0,94.6250,0,2.11
com.ichi2.widget.AnkiDroidWidgetSmall,12,0,0,17,40,62,0,17,5,0.9091,302,1.0000,0,0.0000,0.2020,0,0,24.0000,0,2.11
