name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,is_Bug,version
com.ichi2.preferences.CustomDialogPreference,2,0,0,11,20,0,0,11,2,0.0,169,1.0,0,0.0,0.6,0,0,83.0,0,2.1
com.ichi2.upgrade.Upgrade,2,0,0,5,6,1,2,3,2,2.0,23,0.0,0,0.0,0.5,0,0,10.5,0,2.1
com.ichi2.compat.CompatV4,11,0,1,10,15,55,2,8,11,2.0,35,0.0,0,0.0,0.2828,0,0,2.1818,0,2.1
com.ichi2.compat.CompatV5,2,0,1,5,4,1,2,3,2,2.0,9,0.0,0,0.0,0.6667,0,0,3.5,0,2.1
com.ichi2.compat.CompatV9,3,0,1,5,7,3,2,3,3,2.0,22,0.0,0,0.0,0.5556,0,0,6.3333,0,2.1
com.ichi2.anki.multimediacard.fields.FieldControllerBase,5,0,3,7,6,10,3,4,5,1.0,28,1.0,3,0.0,0.36,0,0,3.8,0,2.1
com.ichi2.anki.multimediacard.fields.IFieldController,8,0,0,11,8,28,7,5,8,2.0,8,0.0,0,0.0,0.2679,0,0,0.0,0,2.1
com.ichi2.anki.multimediacard.fields.BasicControllerFactory,3,0,0,9,9,3,1,8,2,2.0,32,0.0,0,0.0,0.5,0,0,9.6667,0,2.1
com.ichi2.utils.DiffEngine,21,0,0,6,91,194,2,4,9,0.935,3254,0.6,0,0.0,0.3429,0,0,153.4762,0,2.1
com.ichi2.widget.AnkiDroidWidgetSmall,9,0,0,8,17,24,0,8,4,0.75,58,1.0,0,0.0,0.2292,0,0,5.2222,0,2.1
com.ichi2.anki.AnkiDatabaseManager,6,0,0,10,18,0,9,1,4,0.2,63,1.0,0,0.0,0.4,0,0,9.3333,0,2.1
com.ichi2.libanki.Stats,9,0,0,13,56,0,2,11,7,0.8516,1352,0.625,2,0.0,0.3611,0,0,147.4444,0,2.1
com.ichi2.anki.multimediacard.IMultimediaEditableNote,5,0,0,10,5,10,9,1,5,2.0,5,0.0,0,0.0,0.5333,0,0,0.0,0,2.1
com.ichi2.anki.MyAccount,27,0,0,39,81,293,0,39,2,0.8974,640,0.8889,6,0.0,0.1746,0,0,22.037,0,2.1
com.ichi2.anki.web.HttpFetcher,5,0,0,11,39,10,0,11,5,2.0,177,0.0,0,0.0,0.4667,0,0,34.4,0,2.1
com.ichi2.anki.multimediacard.glosbe.json.Response,11,0,0,1,12,45,1,0,11,0.9,54,1.0,0,0.0,0.4848,0,0,3.4545,0,2.1
com.ichi2.themes.StyledDialog,17,0,0,34,47,118,16,19,14,0.7321,443,1.0,0,0.0,0.2513,0,0,24.6471,0,2.1
com.ichi2.libanki.Media,35,0,0,28,168,275,11,18,26,0.8848,1726,0.6667,2,0.0,0.1912,0,0,47.9714,0,2.1
com.ichi2.anki.multimediacard.impl.MultimediaEditableNote,11,0,0,6,21,45,4,2,9,0.8,151,0.5,0,0.0,0.3636,0,0,12.3636,0,2.1
com.ichi2.anki.multimediacard.activity.SearchImageActivity,24,0,0,30,97,220,1,29,6,0.8629,609,0.8462,0,0.0,0.1594,0,0,23.8333,0,2.1
com.ichi2.anki.CardEditor,77,0,0,93,297,2592,1,92,5,0.9829,2640,0.7105,8,0.0,0.0721,0,0,32.2987,0,2.1
com.ichi2.utils.Threads,7,0,0,5,18,21,1,4,6,2.0,65,0.0,0,0.0,0.1429,0,0,8.2857,0,2.1
com.ichi2.libanki.hooks.HebrewFixFilter,7,0,0,3,30,19,2,2,4,0.6667,182,1.0,0,0.0,0.3333,0,0,24.8571,0,2.1
com.ichi2.anki.Lookup,12,0,0,15,48,44,2,13,5,0.9441,415,1.0,0,0.0,0.1944,0,0,32.5,0,2.1
com.ichi2.utils.DiskUtil,2,0,0,5,10,1,2,3,2,2.0,21,0.0,0,0.0,0.5,0,0,9.5,0,2.1
com.ichi2.anki.multimediacard.language.LanguageListerBase,4,0,2,3,14,0,2,1,3,0.0,51,1.0,0,0.0,0.75,0,0,11.5,0,2.1
com.ichi2.anki.multimediacard.activity.EditFieldActivity,16,0,0,31,70,68,5,27,4,0.7619,433,0.2857,3,0.0,0.1953,0,0,25.625,0,2.1
com.ichi2.anki.Info,23,0,0,63,139,231,0,63,3,1.011,1230,0.4242,2,0.0,0.1522,0,0,51.0435,0,2.1
com.ichi2.compat.CompatV15NookHdPlus,2,0,0,4,4,1,1,3,2,2.0,8,0.0,0,0.0,0.75,0,0,3.0,0,2.1
com.ichi2.widget.WidgetStatus,16,0,0,19,28,104,9,10,10,0.6583,183,1.0,1,0.0,0.1619,0,0,9.9375,0,2.1
com.ichi2.anki.multimediacard.googleimagesearch.json.ResponseData,5,0,0,3,6,6,2,1,5,0.75,24,1.0,1,0.0,0.4667,0,0,3.4,0,2.1
com.ichi2.anki.multimediacard.glosbe.json.Tuc,9,0,0,2,10,28,1,1,9,0.875,44,1.0,1,0.0,0.3611,0,0,3.4444,0,2.1
com.ichi2.utils.HtmlUtil,2,0,0,3,5,1,1,2,1,2.0,9,0.0,0,0.0,0.5,0,0,3.5,0,2.1
com.ichi2.libanki.sync.Syncer,34,0,0,21,176,0,1,21,14,0.8995,2672,0.1053,2,0.0,0.1735,0,0,77.0294,0,2.1
com.ichi2.anki.multimediacard.language.LanguageListerBeolingus,1,0,0,3,4,0,1,2,1,2.0,22,0.0,0,0.0,1.0,0,0,21.0,0,2.1
com.ichi2.anki.multimediacard.fields.IControllerFactory,1,0,0,4,1,0,2,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,0,2.1
com.ichi2.anki.multimediacard.impl.NoteFactory,2,0,0,5,10,1,0,5,2,2.0,66,0.0,0,0.0,0.5,0,0,32.0,0,2.1
com.ichi2.anki.multimediacard.googleimagesearch.json.Result,31,0,0,1,32,435,1,0,31,0.9667,154,1.0,0,0.0,0.7419,0,0,3.4839,0,2.1
com.ichi2.anki.multimediacard.fields.IField,17,0,0,18,17,136,17,1,17,2.0,17,0.0,0,0.0,0.3676,0,0,0.0,0,2.1
com.ichi2.async.BaseAsyncTask,7,0,2,4,14,21,2,2,1,1.1667,35,1.0,0,0.0,0.5,0,0,3.8571,0,2.1
com.ichi2.anki.SharedDeckDownload,14,0,0,6,26,57,1,5,12,0.8942,242,0.75,0,0.0,0.3538,0,0,15.7143,0,2.1
com.ichi2.anki.multimediacard.googleimagesearch.json.ImageSearchResponse,9,0,0,2,10,24,1,1,9,0.8438,47,1.0,1,0.0,0.2889,0,0,3.7778,0,2.1
com.ichi2.libanki.sync.HttpSyncer,0,0,0,1,0,0,1,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,2.1
com.ichi2.anki.BackupManager,23,0,0,12,90,247,3,9,17,1.0364,958,0.0667,0,0.0,0.2121,0,0,40.0,0,2.1
com.ichi2.async.Connection,32,0,0,40,188,462,11,37,16,0.9435,2562,0.25,1,0.0,0.191,0,0,78.5625,0,2.1
com.ichi2.async.DeckTask,47,0,0,42,295,1035,8,34,7,1.003,3377,0.1389,2,0.0,0.2053,0,0,70.0851,0,2.1
com.ichi2.anki.multimediacard.language.LanguagesLister,3,0,0,1,13,0,0,1,2,0.0,85,0.0,0,0.0,0.6667,0,0,27.0,0,2.1
com.ichi2.anki.Download,18,0,1,8,32,73,3,5,16,0.9202,184,0.5,0,0.0,0.2647,0,0,8.4444,0,2.1
com.ichi2.anki.BuildConfig,1,0,0,0,2,0,0,0,1,2.0,5,0.0,0,0.0,1.0,0,0,3.0,0,2.1
